,Postal Code,City,Administrative Region,Population,Area,Area Codes,Neighborhoods,Latitude,Longitude,Male Population,Female Population,Median Age,Male Median Age,Female Median Age
0,50667,Cologne,North Rhine-Westphalia,"4,512",1.031 km²,"2203, 221","Altstadt-Nord, Innenstadt",50.940088623517646° , 6.957684918323491°,"2,187 (48.5%)","2,325 (51.5%)",41.3 years,40.5 years,42 years
1,50668,Cologne,North Rhine-Westphalia,"7,717",1.692 km²,"2203, 221","Altstadt-Nord, Innenstadt, Kunibertsviertel",50.950695435874° , 6.965450051394539°,"3,740 (48.5%)","3,977 (51.5%)",41.3 years,40.5 years,42 years
2,50670,Cologne,North Rhine-Westphalia,"8,612",1.9 km²,"2203, 221","Agnesviertel, Innenstadt",50.95117220931733° , 6.950957439590489°,"4,174 (48.5%)","4,438 (51.5%)",41.3 years,40.5 years,42 years
3,50672,Cologne,North Rhine-Westphalia,"4,657",1.027 km²,"2203, 221","Friesenviertel, Innenstadt",50.943440989539745° , 6.938476189303402°,"2,257 (48.5%)","2,400 (51.5%)",41.3 years,40.5 years,42 years
4,50674,Cologne,North Rhine-Westphalia,"6,643",1.389 km²,"2203, 221","Innenstadt, Rathenauviertel",50.93358384190404° , 6.937040819338811°,"3,219 (48.5%)","3,424 (51.5%)",41.3 years,40.5 years,42 years
5,50676,Cologne,North Rhine-Westphalia,"8,183",1.601 km²,"2203, 221","Altstadt-Süd, Innenstadt",50.932978210395106° , 6.955559623272789°,"3,966 (48.5%)","4,217 (51.5%)",41.3 years,40.5 years,42 years
6,50677,Cologne,North Rhine-Westphalia,"5,126",1.113 km²,"2203, 221","Innenstadt, Neustadt-Süd",50.92255516746773° , 6.953236492105955°,"2,484 (48.5%)","2,642 (51.5%)",41.3 years,40.5 years,42 years
7,50678,Cologne,North Rhine-Westphalia,"5,217",1.44 km²,"2203, 221","Innenstadt, Neustadt-Süd, Severinsviertel",50.9240361563136° , 6.966482453951151°,"2,528 (48.5%)","2,689 (51.5%)",41.3 years,40.5 years,42 years
8,50679,Cologne,North Rhine-Westphalia,"23,405",5.2 km²,"2203, 221","Deutz, Innenstadt",50.937422829052444° , 6.981032261574411°,"11,343 (48.5%)","12,062 (51.5%)",41.3 years,40.5 years,42 years
9,50733,Cologne,North Rhine-Westphalia,"14,629",3.163 km²,"2203, 221",Nippes,50.965164691074314° , 6.956397386328086°,"7,090 (48.5%)","7,539 (51.5%)",41.3 years,40.5 years,42 years
10,50735,Cologne,North Rhine-Westphalia,"50,922",14.4 km²,"2203, 221","Niehl, Nippes, Riehl",50.99131718335462° , 6.9648989014943°,"24,678 (48.5%)","26,244 (51.5%)",41.3 years,40.5 years,42 years
11,50737,Cologne,North Rhine-Westphalia,"20,716",8 km²,"2203, 221",Nippes,50.993196838708° , 6.934983316046722°,"10,040 (48.5%)","10,676 (51.5%)",41.3 years,40.5 years,42 years
12,50739,Cologne,North Rhine-Westphalia,"27,341",6.6 km²,"2203, 221",Nippes,50.98123201436021° , 6.924022567019903°,"13,250 (48.5%)","14,091 (51.5%)",41.3 years,40.5 years,42 years
13,50765,Cologne,North Rhine-Westphalia,"22,241",16.9 km²,"2203, 221",Chorweiler,51.01958922451303° , 6.869687169853146°,"10,779 (48.5%)","11,462 (51.5%)",41.3 years,40.5 years,42 years
14,50767,Cologne,North Rhine-Westphalia,"19,661",5.8 km²,"2203, 221",Chorweiler,51.00373463965841° , 6.887603469460617°,"9,528 (48.5%)","10,133 (51.5%)",41.3 years,40.5 years,42 years
15,50769,Cologne,North Rhine-Westphalia,"63,970",44.8 km²,"2203, 221",Chorweiler,51.038458,6.90873,"30,999 (48.5%)","32,971 (51.5%)",41.5 years,40.7 years,42.2 years
16,50823,Cologne,North Rhine-Westphalia,"13,226",2.551 km²,"2203, 221",Ehrenfeld,50.95199242172543° , 6.928627453385277°,"6,410 (48.5%)","6,816 (51.5%)",41.3 years,40.5 years,42 years
17,50825,Cologne,North Rhine-Westphalia,"18,950",3.716 km²,"2203, 221",Ehrenfeld,50.955317968197114° , 6.912536561788593°,"9,184 (48.5%)","9,766 (51.5%)",41.3 years,40.5 years,42 years
18,50827,Cologne,North Rhine-Westphalia,"22,614",6.5 km²,"2203, 221",Ehrenfeld,50.96983262314716° , 6.898855612778169°,"10,959 (48.5%)","11,655 (51.5%)",41.3 years,40.5 years,42 years
19,50829,Cologne,North Rhine-Westphalia,"32,882",12.7 km²,"2203, 221","Ehrenfeld, Ossendorf",50.97490449846835° , 6.872419482997028°,"15,935 (48.5%)","16,947 (51.5%)",41.3 years,40.5 years,42 years
